City,City_ID,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind_Speed
Castro, 3466704, BR, -24.79, -50.01, 73.45, 71, 2, 2.86
Vanimo, 2084442, PG, -2.67, 141.3, 78.94, 78, 100, 2.17
Luwuk, 1637001, ID, -0.95, 122.79, 77.29, 70, 100, 4.36
Ascension, 4315067, US, 30.22, -90.9, 74.59, 60, 40, 4.03
Lermontovka, 2020824, RU, 47.15, 134.34, 35.44, 88, 0, 1.43
Lichinga, 1043893, MZ, -13.31, 35.24, 68, 68, 20, 9.17
Pedernales, 3495137, DO, 18.04, -71.74, 87.8, 70, 75, 18.34
Remanso, 3408064, BR, -9.62, -42.08, 87.35, 47, 55, 1.74
Tabou, 2281120, CI, 4.42, -7.35, 78.66, 85, 96, 6.76
Airai, 1651810, TL, -8.93, 125.41, 61.84, 100, 97, 1.83
Springdale, 4132093, US, 36.19, -94.13, 50, 87, 90, 8.05
Upernavik, 3418910, GL, 72.79, -56.15, 13.87, 76, 64, 4.05
Chicama, 3698359, PE, -7.84, -79.15, 64.4, 77, 75, 13.87
Djibo, 2361177, BF, 14.1, -1.63, 88.66, 12, 0, 8.55
Pierre, 5767918, US, 44.37, -100.35, 21.2, 79, 90, 13.87
Westport, 4845585, US, 41.14, -73.36, 51.66, 50, 1, 6.93
São João da Barra, 3448903, BR, -21.64, -41.05, 71.6, 94, 90, 11.41
Haines Junction, 5969025, CA, 60.75, -137.51, 27.55, 91, 100, 1.19
Panabá, 3521972, MX, 21.28, -88.27, 82.81, 81, 45, 14.52
Iqaluit, 5983720, CA, 63.75, -68.51, 12.09, 78, 40, 10.29
Rocha, 3440777, UY, -34.48, -54.33, 77.32, 71, 100, 14.61
Tuktoyaktuk, 6170031, CA, 69.45, -133.04, 23, 85, 90, 29.97
Lodwar, 189280, KE, 3.12, 35.6, 89.33, 36, 95, 17.02
Torbay, 6167817, CA, 47.67, -52.73, 46.24, 93, 90, 33.33
Tura, 1254046, IN, 25.52, 90.22, 69.15, 95, 0, 1.92
Jiangyou, 1885823, CN, 31.77, 104.72, 62.17, 71, 57, 0.78
Beloha, 1067565, MG, -25.17, 45.05, 72.07, 57, 100, 3.38
New Norfolk, 2155415, AU, -42.78, 147.06, 39.76, 70, 3, 1.81
Banjar, 1650232, ID, -8.19, 114.97, 80.6, 88, 40, 5.82
Pitimbu, 3391889, BR, -7.47, -34.81, 84.2, 70, 75, 11.41
São Filipe, 3374210, CV, 14.9, -24.5, 83.86, 57, 100, 16.11
Puerto Ayora, 3652764, EC, -0.74, -90.35, 72.57, 73, 40, 17.22
Porbandar, 1259395, IN, 21.64, 69.61, 82.02, 63, 0, 6.13
Provideniya, 4031574, RU, 64.38, -173.3, 33.1, 92, 100, 4.34
Dashitou, 2037820, CN, 43.31, 128.51, 33.35, 91, 4, 1.41
Nikolskoye, 546105, RU, 59.7, 30.79, 41.88, 87, 90, 2.24
Yenagoa, 2318123, NG, 4.92, 6.26, 76.89, 90, 29, 4.34
Aklavik, 5882953, CA, 68.22, -135.01, 26.6, 73, 75, 23.04
Belmonte, 3470137, BR, -15.86, -38.88, 77, 88, 75, 12.75
Cidreira, 3466165, BR, -30.18, -50.21, 71.15, 82, 0, 21.18
Klaksvík, 2618795, FO, 62.23, -6.59, 44.6, 93, 0, 8.05
Hirara, 1862505, JP, 24.8, 125.28, 75.49, 67, 98, 14.5
Tessalit, 2449893, ML, 20.2, 1.01, 84.13, 14, 0, 12.1
Semīrom, 116406, IR, 31.42, 51.57, 37.06, 75, 0, 2.75
Nuquí, 3673690, CO, 5.71, -77.27, 81.23, 75, 99, 9.44
Tual, 1623197, ID, -5.67, 132.75, 82.18, 72, 100, 7.99
Karpathos, 260895, GR, 35.51, 27.21, 71.6, 83, 98, 11.41
Bethel, 5282297, US, 41.37, -73.41, 51.26, 50, 1, 5.82
Ancud, 3899695, CL, -41.87, -73.82, 50, 57, 75, 11.41
Kapaa, 5848280, US, 22.08, -159.32, 77.07, 88, 40, 5.82
Sitka, 5557293, US, 57.05, -135.33, 39.2, 80, 90, 6.93
Daru, 2098329, PG, -9.08, 143.21, 76.95, 90, 77, 6.67
Nelson Bay, 2155562, AU, -32.72, 152.15, 62.01, 100, 90, 21.92
Yangi Marg`ilon, 1513491, UZ, 40.43, 71.72, 48.2, 52, 0, 4.7
Bon Air, 4748305, US, 37.52, -77.56, 49.35, 96, 100, 8.08
Río Cuarto, 3838874, AR, -33.13, -64.35, 60.8, 72, 90, 23.04
Stornoway, 2636790, GB, 58.21, -6.39, 49.59, 93, 75, 24.16
Bonavista, 5905393, CA, 48.65, -53.11, 43, 88, 100, 21
Äänekoski, 662096, FI, 62.69, 25.82, 36.32, 100, 90, 6.93
Road Town, 3577430, VG, 18.42, -64.62, 86.68, 70, 40, 11.41
Vardø, 777019, NO, 70.37, 31.11, 37.4, 69, 75, 18.34
Mareeba, 2158767, AU, -17, 145.43, 70.84, 83, 14, 1.12
Arlit, 2447513, NE, 18.74, 7.39, 83.89, 13, 0, 15.55
Peniche, 2264923, PT, 39.36, -9.38, 57.72, 84, 49, 8.99
Salalah, 286621, OM, 17.02, 54.09, 78.8, 54, 0, 4.7
Örnsköldsvik, 2686469, SE, 63.29, 18.72, 46.4, 100, 90, 19.46
Nouadhibou, 2377457, MR, 20.93, -17.03, 77, 61, 100, 13.87
Nkayi, 2259383, CG, -4.18, 13.29, 78.51, 78, 100, 4.14
Ishigaki, 1861416, JP, 24.34, 124.16, 76.15, 66, 100, 13.6
Taltal, 3870243, CL, -25.4, -70.48, 65.75, 54, 22, 8.93
Mariehamn, 3041732, AX, 60.1, 19.93, 51.8, 93, 90, 19.46
